#MaxRadius:0.89998	MaxHeight:634	MaxLength:200
49997
0.68106	0.68106	0.89956
0.59536	1.9575	0.89956
0.61781	3.1707	0.89956
0.78109	4.5696	0.89956
0.7022	6.0529	0.89956
0.63332	7.3884	0.89956
0.7321	8.7538	0.89956
0.85379	10.34	0.89956
0.71	11.903	0.89956
0.79888	13.412	0.89956
0.65237	14.864	0.89956
0.58679	16.103	0.89956
0.76572	17.455	0.89956
0.73469	18.956	0.89956
0.65078	20.341	0.89956
0.82803	21.82	0.89956
0.75547	23.403	0.89956
0.7649	24.924	0.89956
0.63598	26.325	0.89956
0.62443	27.585	0.89956
0.59272	28.802	0.89956
0.72576	30.121	0.89956
0.64044	31.487	0.89956
0.74742	32.875	0.89956
0.64937	34.272	0.89956
0.7325	35.653	0.89956
0.72227	37.108	0.89956
0.67431	38.505	0.89956
0.78992	39.969	0.89956
0.71695	41.476	0.89956
0.61451	42.807	0.89956
0.66678	44.089	0.89956
0.7389	45.494	0.89956
0.64063	46.874	0.89956
0.68588	48.2	0.89956
0.76117	49.647	0.89956
0.79272	51.201	0.89956
0.65741	52.651	0.89956
0.72857	54.037	0.89956
0.67657	55.443	0.89956
0.81932	56.938	0.89956
0.68674	58.445	0.89956
0.687	59.818	0.89956
0.73605	61.241	0.89956
0.6851	62.663	0.89956
0.74491	64.093	0.89956
0.71305	65.55	0.89956
0.72489	66.988	0.89956
0.79282	68.506	0.89956
0.63729	69.936	0.89956
0.70745	71.281	0.89956
0.62013	72.609	0.89956
0.81087	74.04	0.89956
0.65773	75.508	0.89956
0.65378	76.82	0.89956
0.76946	78.243	0.89956
0.58401	79.596	0.89956
0.70002	80.88	0.89956
0.72485	82.305	0.89956
0.68392	83.714	0.89956
0.80219	85.2	0.89956
0.78169	86.784	0.89956
0.70239	88.268	0.89956
0.62368	89.594	0.89956
0.7132	90.931	0.89956
0.80997	92.454	0.89956
0.83119	94.095	0.89956
0.69915	95.626	0.89956
0.74092	97.066	0.89956
0.70731	98.514	0.89956
0.78958	100.01	0.89956
0.70105	101.5	0.89956
